image_id,sample_id,svs_path
4220781,P-0052008-T03-IM7,s3://mskmind-bkt/reef-slides/4220781.svs
2522400,P-0052009-T02-IM6,s3://mskmind-bkt/reef-slides/2522400.svs
7171844,P-0052009-T04-IM7,s3://mskmind-bkt/reef-slides/7171844.svs
3765015,P-0052010-T02-IM7,s3://mskmind-bkt/reef-slides/3765015.svs
4534685,P-0052010-T04-IM7,s3://mskmind-bkt/reef-slides/4534685.svs
2527940,P-0052013-T02-IM6,s3://mskmind-bkt/reef-slides/2527940.svs
2653629,P-0052016-T02-IM6,s3://mskmind-bkt/reef-slides/2653629.svs
6683315,P-0052016-T05-IM7,s3://mskmind-bkt/reef-slides/6683315.svs
2564410,P-0052021-T01-IM6,s3://mskmind-bkt/reef-slides/2564410.svs
3280583,P-0052021-T02-IM6,s3://mskmind-bkt/reef-slides/3280583.svs
2477764,P-0052022-T01-IM6,s3://mskmind-bkt/reef-slides/2477764.svs
2473948,P-0052027-T01-IM6,s3://mskmind-bkt/reef-slides/2473948.svs
2485054,P-0052033-T01-IM6,s3://mskmind-bkt/reef-slides/2485054.svs
3660077,P-0052033-T02-IM7,s3://mskmind-bkt/reef-slides/3660077.svs
2473566,P-0052034-T01-IM6,s3://mskmind-bkt/reef-slides/2473566.svs
7757080,P-0052034-T02-IM7,s3://mskmind-bkt/reef-slides/7757080.svs
7729251,P-0052034-T03-IM7,s3://mskmind-bkt/reef-slides/7729251.svs
3191560,P-0052035-T03-IM6,s3://mskmind-bkt/reef-slides/3191560.svs
7660885,P-0052035-T04-IM7,s3://mskmind-bkt/reef-slides/7660885.svs
2352805,P-0052038-T01-IM6,s3://mskmind-bkt/reef-slides/2352805.svs
2022433,P-0052042-T01-IM6,s3://mskmind-bkt/reef-slides/2022433.svs
2468578,P-0052043-T01-IM6,s3://mskmind-bkt/reef-slides/2468578.svs
2318334,P-0052044-T01-IM6,s3://mskmind-bkt/reef-slides/2318334.svs
2474080,P-0052055-T01-IM6,s3://mskmind-bkt/reef-slides/2474080.svs
2473781,P-0052056-T01-IM6,s3://mskmind-bkt/reef-slides/2473781.svs
2474087,P-0052057-T01-IM6,s3://mskmind-bkt/reef-slides/2474087.svs
3268809,P-0052057-T03-IM6,s3://mskmind-bkt/reef-slides/3268809.svs
1432550,P-0052059-T01-IM6,s3://mskmind-bkt/reef-slides/1432550.svs
2388702,P-0052061-T01-IM6,s3://mskmind-bkt/reef-slides/2388702.svs
4159776,P-0052061-T03-IM7,s3://mskmind-bkt/reef-slides/4159776.svs
3700838,P-0052061-T04-IM7,s3://mskmind-bkt/reef-slides/3700838.svs
3221044,P-0052061-T05-IM7,s3://mskmind-bkt/reef-slides/3221044.svs
2489526,P-0052087-T01-IM6,s3://mskmind-bkt/reef-slides/2489526.svs
2447396,P-0052088-T01-IM6,s3://mskmind-bkt/reef-slides/2447396.svs
2499486,P-0052092-T01-IM6,s3://mskmind-bkt/reef-slides/2499486.svs
2524729,P-0052094-T01-IM6,s3://mskmind-bkt/reef-slides/2524729.svs
2489565,P-0052097-T01-IM6,s3://mskmind-bkt/reef-slides/2489565.svs
2489508,P-0052099-T01-IM6,s3://mskmind-bkt/reef-slides/2489508.svs
2504740,P-0052101-T01-IM6,s3://mskmind-bkt/reef-slides/2504740.svs
2507284,P-0052101-T02-IM6,s3://mskmind-bkt/reef-slides/2507284.svs
7584909,P-0052101-T03-IM7,s3://mskmind-bkt/reef-slides/7584909.svs
2490136,P-0052102-T01-IM6,s3://mskmind-bkt/reef-slides/2490136.svs
4396807,P-0052103-T03-IM7,s3://mskmind-bkt/reef-slides/4396807.svs
5460385,P-0052103-T04-IM7,s3://mskmind-bkt/reef-slides/5460385.svs
2494150,P-0052104-T01-IM6,s3://mskmind-bkt/reef-slides/2494150.svs
2462048,P-0052105-T01-IM6,s3://mskmind-bkt/reef-slides/2462048.svs
2386128,P-0052108-T01-IM6,s3://mskmind-bkt/reef-slides/2386128.svs
4487424,P-0052108-T03-IM7,s3://mskmind-bkt/reef-slides/4487424.svs
2489519,P-0052109-T01-IM6,s3://mskmind-bkt/reef-slides/2489519.svs
2052078,P-0052121-T01-IM6,s3://mskmind-bkt/reef-slides/2052078.svs
2496385,P-0052122-T01-IM6,s3://mskmind-bkt/reef-slides/2496385.svs
4014684,P-0052126-T01-IM6,s3://mskmind-bkt/reef-slides/4014684.svs
2490017,P-0052128-T01-IM6,s3://mskmind-bkt/reef-slides/2490017.svs
2485639,P-0052129-T01-IM6,s3://mskmind-bkt/reef-slides/2485639.svs
2540944,P-0052131-T01-IM6,s3://mskmind-bkt/reef-slides/2540944.svs
2225814,P-0052132-T01-IM6,s3://mskmind-bkt/reef-slides/2225814.svs
2494218,P-0052133-T01-IM6,s3://mskmind-bkt/reef-slides/2494218.svs
2547758,P-0052141-T02-IM6,s3://mskmind-bkt/reef-slides/2547758.svs
2466586,P-0052142-T02-IM6,s3://mskmind-bkt/reef-slides/2466586.svs
