image_id,sample_id,svs_path
7847,TCGA-02-0266-01,s3://pathology/TCGA/c325a311-7b80-470a-9993-6cebe209e0a0/TCGA-02-0266-01Z-00-DX2.067FCC66-A77D-4B5C-BF64-9347007B1A81.svs
8378,TCGA-02-0269-01,s3://pathology/TCGA/47645c6e-420a-4b05-947c-5ef580ab9407/TCGA-02-0269-01Z-00-DX1.451ff3bd-58e9-4d80-9cdd-1f7ad772f2e2.svs
7552,TCGA-02-0281-01,s3://pathology/TCGA/77c07162-243d-4e81-9c95-d8a7847a4792/TCGA-02-0281-01Z-00-DX1.6db34ca2-a4f6-4efb-adfa-05bd51f9fda2.svs
4727,TCGA-02-0285-01,s3://pathology/TCGA/4dec261f-8e9d-42f7-b29a-aec46ca59856/TCGA-02-0285-01Z-00-DX1.33f31de6-46d7-427d-8f19-66326789f7dd.svs
2936,TCGA-02-0289-01,s3://pathology/TCGA/fbc2c0bb-fd64-4e68-9fc3-fc9575132fcc/TCGA-02-0289-01Z-00-DX1.1d9920df-d98f-4655-be62-14efec6d35bb.svs
7678,TCGA-02-0317-01,s3://pathology/TCGA/33c17f3e-ac55-4a31-b1c3-7aa3effc041c/TCGA-02-0317-01Z-00-DX2.15FFEA24-40C1-42C8-AE60-9CD346EE171A.svs
1834,TCGA-02-0321-01,s3://pathology/TCGA/7b4519a1-7d6a-4c47-8563-a044f2448e55/TCGA-02-0321-01Z-00-DX1.3c57c27d-4a4f-45af-bf8b-2bde421a42fa.svs
3376,TCGA-02-0325-01,s3://pathology/TCGA/f8147d6b-dc16-4321-ac5a-aae0a4edf215/TCGA-02-0325-01Z-00-DX2.96FDB1EC-34F1-4E8D-A021-DD1A481AF127.svs
2288,TCGA-02-0326-01,s3://pathology/TCGA/d3d2588e-5cba-4aa6-b8b1-73b178f6d9a4/TCGA-02-0326-01Z-00-DX3.a25cf445-9fce-48cf-b5c1-dcd900a885d4.svs
5068,TCGA-02-0330-01,s3://pathology/TCGA/c1805dc8-d1df-4866-9330-a5f2d1554e47/TCGA-02-0330-01Z-00-DX2.C51F90F7-86E4-4668-9F96-8CE20A30B3A9.svs
9201,TCGA-02-0332-01,s3://pathology/TCGA/eefcb86d-443a-41df-a1f6-3a8398c146d9/TCGA-02-0332-01Z-00-DX1.4d7017ac-1ad9-4359-b641-273c1cb2cc14.svs
4828,TCGA-02-0333-01,s3://pathology/TCGA/0b42b9d7-c52d-4de7-ab3f-26503d9f4d58/TCGA-02-0333-01Z-00-DX2.2163628B-0639-46D6-9587-060955EF1031.svs
2827,TCGA-02-0337-01,s3://pathology/TCGA/2f48131c-921b-4db4-b9d9-e8fb050a7e31/TCGA-02-0337-01Z-00-DX1.c7d3d96c-789b-4844-8731-1279d44955ec.svs
